movie;director
Scent of a Woman;Martin Brest
Scarface;Brian De Palma
The Godfather;Francis Ford Coppola
House Of Gucci;Ridley Scott
The Devil's Advocate;Taylor Hackford
Once Upon a Time... in Hollywood;Quentin Tarantino
Inception;Christopher Nolan
The Wolf of Wall Street;Martin Scorsese
Catch Me If You Can;Steven Spielberg
Titanic;James Cameron
The Great Gatsby;Baz Luhrmann
Babylon;Damien Chazelle
Focus;John Requa
Focus;Glenn Ficarra
Suicide Squad;David Ayer
Flatliners;Niels Arden Oplev
Juno;Jason Reitman
Gía;Michael Cristofer
Girl, Interrupted;James Mangold
Mr. & Mrs. Smith;Doug Liman
Salt;Phillip Noyce
Changeling;Clint Eastwood
Fight Club;David Fincher
Se7en;David Fincher
Ocean's Eleven;Steven Soderbergh
Collateral Beauty;David Frankel
The Italian Job;Guy Ritchie
Wrath of Man;Guy Ritchie
Snatch;Guy Ritchie
Lock, Stock and Two Smoking Barrels;Guy Ritchie
The Expendables;Sylvester Stallone
The Transporter;Louis Leterrier
The Transporter;Corey Yuen
The Imitation Game;Morten Tyldum
Pride & Prejudice;Joe Wright
Atonement;Joe Wright
The Aftermath;James Kent
(500) Days of Summer;Marc Webb
G.I. Joe: The Rise of Cobra;Stephen Sommers
The Tourist;Florian Henckel von Donnersmarck
;
