movie;genre;;;;
Scent of a Woman;Drama;;;;
Scarface;Drama;;;;
Scarface;Crime;;;;
The Godfather;Drama;;;;
The Godfather;Crime;;;;
House Of Gucci;Biography;;;;
House Of Gucci;Drama;;;;
House Of Gucci;Crime;;;;
The Devil's Advocate;Drama;;;;
The Devil's Advocate;Mystery;;;;
The Devil's Advocate;Thriller;;;;
Once Upon a Time... in Hollywood;Comedy;;;;
Once Upon a Time... in Hollywood;Drama;;;;
Inception;Action;;;;
Inception;Adventure;;;;
Inception;Sci-Fi;;;;
The Wolf of Wall Street;Comedy;;;;
The Wolf of Wall Street;Crime;;;;
The Wolf of Wall Street;Biography;;;;
Catch Me If You Can;Crime;;;;
Catch Me If You Can;Drama;;;;
Catch Me If You Can;Biography;;;;
Titanic;Romance;;;;
Titanic;Drama;;;;
The Great Gatsby;Drama;;;;
The Great Gatsby;Romance;;;;
Babylon;Drama;;;;
Babylon;Comedy;;;;
Babylon;History;;;;
Focus;Comedy;;;;
Focus;Crime;;;;
Focus;Drama;;;;
Suicide Squad;Adventure;;;;
Suicide Squad;Action;;;;
Suicide Squad;Fantasy;;;;
Flatliners;Drama;;;;
Flatliners;Horror;;;;
Flatliners;Mystery;;;;
Juno;Drama;;;;
Juno;Comedy;;;;
Gía;Biography;;;;
Gía;Drama;;;;
Gía;Romance;;;;
Girl, Interrupted;Biography;;;;
Girl, Interrupted;Drama;;;;
Mr. & Mrs. Smith;Action;;;;
Mr. & Mrs. Smith;Comedy;;;;
Mr. & Mrs. Smith;Crime;;;;
Salt;Action;;;;
Salt;Thriller;;;;
Changeling;Biography;;;;
Changeling;Crime;;;;
Changeling;Drama;;;;
Fight Club;Drama;;;;
Se7en;Crime;;;;
Se7en;Drama;;;;
Se7en;Mystery;;;;
Ocean's Eleven;Crime;;;;
Ocean's Eleven;Thriller;;;;
Collateral Beauty;Drama;;;;
Collateral Beauty;Romance;;;;
The Italian Job;Action;;;;
The Italian Job;Crime;;;;
The Italian Job;Thriller;;;;
Wrath of Man;Action;;;;
Wrath of Man;Crime;;;;
Wrath of Man;Thriller;;;;
Snatch;Comedy;;;;
Snatch;Crime;;;;
Lock, Stock and Two Smoking Barrels;Action;;;;
Lock, Stock and Two Smoking Barrels;Comedy;;;;
Lock, Stock and Two Smoking Barrels;Crime;;;;
The Expendables;Action;;;;
The Expendables;Adventure;;;;
The Expendables;Thriller;;;;
The Transporter;Action;;;;
The Transporter;Crime;;;;
The Transporter;Thriller;;;;
The Imitation Game;Biography;;;;
The Imitation Game;Drama;;;;
The Imitation Game;Thriller;;;;
Pride & Prejudice;Drama;;;;
Pride & Prejudice;Romance;;;;
Atonement;Drama;;;;
Atonement;Mystery;;;;
Atonement;Romance;;;;
The Aftermath;Drama;;;;
The Aftermath;Romance;;;;
The Aftermath;War;;;;
(500) Days of Summer;Comedy;;;;
(500) Days of Summer;Drama;;;;
(500) Days of Summer;Romance;;;;
G.I. Joe: The Rise of Cobra;Action;;;;
G.I. Joe: The Rise of Cobra;Adventure;;;;
G.I. Joe: The Rise of Cobra;Sci-Fi;;;;
The Tourist;Action;;;;
The Tourist;Thriller;;;;
